                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0936,                  1.303,                 1.4702,                0.74369,                 0.3125,                0.24208,                 0.1073,                 2.1893,                 2.5745,                 2.6271,              0.0013639,              0.0013639,              0.0013639
                     49,                  1.136,                 1.3624,                 1.5735,                0.77683,                   0.25,                0.23857,                0.13645,                 1.8681,                 2.7841,                 2.3958,              0.0013625,              0.0013625,              0.0013625
                     50,                  1.103,                 1.2705,                  1.491,                0.80149,                 0.3125,                 0.2945,                 0.1469,                 1.6022,                 2.4381,                  2.168,              0.0013611,              0.0013611,              0.0013611
                     51,                 1.0633,                 1.2417,                 1.4244,                0.70651,                   0.25,                0.20159,                0.12308,                 1.7124,                 2.8719,                 2.1575,              0.0013597,              0.0013597,              0.0013597
                     52,                 1.1366,                 1.3605,                 1.5301,                0.84146,                 0.3125,                0.32556,                0.21448,                 1.8276,                 2.1681,                 2.4391,              0.0013583,              0.0013583,              0.0013583
                     53,                 1.1896,                 1.4703,                 1.5865,                0.90112,                 0.3125,                0.34904,                0.18183,                 1.9967,                 1.9959,                 2.7332,              0.0013568,              0.0013568,              0.0013568
                     54,                 1.1264,                 1.2963,                 1.5125,                0.90576,                 0.3125,                0.32374,                0.17259,                 2.0204,                 2.1569,                 2.6105,              0.0013554,              0.0013554,              0.0013554
                     55,                 1.1975,                 1.3266,                 1.5611,                0.70723,                 0.1875,                0.17851,                0.09345,                 2.2158,                  3.008,                 2.5928,               0.001354,               0.001354,               0.001354
                     56,                 1.1479,                 1.2385,                 1.5342,                0.67591,                0.30577,                0.21443,                0.13123,                 2.0217,                  2.743,                 2.3464,              0.0013526,              0.0013526,              0.0013526
                     57,                  1.143,                 1.2561,                 1.5184,                0.82019,                   0.25,                0.26137,                0.14546,                 1.8354,                 2.3279,                  2.314,              0.0013512,              0.0013512,              0.0013512
                     58,                 1.0998,                 1.2783,                 1.5073,                0.90691,                 0.2759,                0.34968,                0.16041,                 1.9657,                 2.1784,                 2.5276,              0.0013498,              0.0013498,              0.0013498
                     59,                 1.0562,                 1.2235,                  1.427,                0.84335,                 0.3125,                0.34392,                 0.1582,                 1.9781,                 2.1992,                 2.5579,              0.0013484,              0.0013484,              0.0013484
                     60,                 1.0982,                  1.188,                  1.522,                0.80139,                   0.25,                0.28093,                0.13064,                 1.9252,                 2.2664,                 2.5088,              0.0013469,              0.0013469,              0.0013469
                     61,                 1.0555,                 1.1365,                  1.386,                0.62831,                  0.375,                0.18549,                0.08937,                 2.1014,                 2.6296,                 2.5878,              0.0013455,              0.0013455,              0.0013455
                     62,                  1.126,                 1.1794,                 1.5163,                0.68537,                 0.3686,                0.18058,                0.09258,                 2.1225,                 2.7984,                  2.645,              0.0013441,              0.0013441,              0.0013441
                     63,                 1.1129,                 1.2572,                 1.4675,                0.71559,                 0.0625,                0.07319,                0.03838,                  2.434,                 2.9257,                 3.0301,              0.0013427,              0.0013427,              0.0013427
                     64,                 1.1487,                 1.2329,                 1.5322,                0.57501,                0.26514,                0.06792,                0.03327,                 2.3267,                 3.4888,                  2.944,              0.0013413,              0.0013413,              0.0013413
                     65,                 1.0041,                 1.1217,                 1.3979,                 0.6358,                 0.3125,                0.16786,                0.06722,                 2.1629,                 2.7263,                  2.817,              0.0013399,              0.0013399,              0.0013399
                     66,                 1.0477,                 1.1445,                 1.4042,                0.71346,                 0.3125,                0.21491,                0.08696,                 2.2551,                 2.7834,                  3.086,              0.0013385,              0.0013385,              0.0013385
                     67,                0.99288,                 1.0662,                 1.3709,                0.79305,                 0.3125,                0.27978,                 0.1215,                 2.3023,                 2.8161,                 3.0993,               0.001337,               0.001337,               0.001337
                     68,                 1.0711,                 1.1619,                 1.4764,                0.72508,                 0.3125,                0.26789,                0.13611,                 2.0177,                 2.3321,                 2.6571,              0.0013356,              0.0013356,              0.0013356
                     69,                 1.0375,                 1.1442,                 1.4121,                0.74538,                 0.3623,                0.29673,                0.15476,                 2.0907,                  2.188,                 2.8723,              0.0013342,              0.0013342,              0.0013342
                     70,                 1.0273,                  1.099,                 1.4143,                0.76972,                 0.3125,                0.30232,                0.14973,                 2.1449,                 2.3047,                 2.8784,              0.0013328,              0.0013328,              0.0013328
                     71,                 1.0448,                 1.1049,                 1.4154,                0.82407,                   0.25,                0.24085,                0.12711,                 2.3579,                 2.2229,                 3.1117,              0.0013314,              0.0013314,              0.0013314
                     72,                 1.0064,                 1.1385,                 1.4222,                0.78586,                 0.3125,                0.26785,                0.13417,                 2.1447,                 2.3904,                 2.8884,                0.00133,                0.00133,                0.00133
                     73,                  1.022,                 1.0947,                 1.4101,                0.84882,                 0.3125,                0.33418,                  0.154,                 2.2355,                 2.4485,                 3.0574,              0.0013286,              0.0013286,              0.0013286
                     74,                0.99668,                 1.0654,                 1.3956,                0.82511,                 0.3125,                 0.3013,                0.14897,                 2.0348,                 2.1576,                 3.1446,              0.0013271,              0.0013271,              0.0013271
                     75,                 1.0674,                 1.0873,                 1.4538,                0.75308,                  0.375,                0.25359,                0.15441,                 1.8667,                 2.2244,                 3.0575,              0.0013257,              0.0013257,              0.0013257
                     76,                 1.0919,                 1.1448,                  1.437,                0.66251,                   0.25,                 0.1645,                 0.0684,                 2.5676,                 2.5961,                 3.2163,              0.0013243,              0.0013243,              0.0013243
                     77,                0.99969,                 1.0255,                 1.4467,                 0.8515,                   0.25,                0.28651,                 0.1606,                 1.9701,                 2.0993,                 2.6073,              0.0013229,              0.0013229,              0.0013229
                     78,                 0.9797,                 1.0318,                 1.3712,                0.87436,                 0.3125,                0.34091,                0.21594,                 1.8951,                  2.086,                 2.5304,              0.0013215,              0.0013215,              0.0013215
                     79,                 1.0776,                 1.1242,                 1.5012,                0.83308,                0.37425,                0.35084,                0.18034,                 2.1155,                 2.1325,                 2.6765,              0.0013201,              0.0013201,              0.0013201
                     80,                0.98389,                0.95479,                 1.3838,                0.29382,                 0.3125,                0.30481,                  0.148,                 2.0145,                 2.1439,                  2.643,              0.0013187,              0.0013187,              0.0013187
                     81,                 1.0769,                 1.1132,                 1.4608,                0.74536,                  0.375,                0.26463,                0.12016,                 2.2434,                 2.2225,                 2.8092,              0.0013172,              0.0013172,              0.0013172
                     82,                 1.0271,                 1.0174,                 1.4277,                0.69109,                  0.375,                0.24776,                0.10688,                  2.263,                 2.3838,                 2.6891,              0.0013158,              0.0013158,              0.0013158
                     83,                 1.0387,                 1.0395,                 1.4955,                0.70901,                0.36001,                 0.2661,                0.14449,                 2.0432,                 2.1209,                   2.52,              0.0013144,              0.0013144,              0.0013144
                     84,                 1.0183,                0.98596,                 1.3808,                 0.7687,                 0.3125,                0.24398,                 0.1307,                 1.9955,                 2.2284,                 2.6148,               0.001313,               0.001313,               0.001313
                     85,                0.94823,                0.95828,                 1.3266,                0.67674,                   0.25,                0.18828,                0.09602,                 2.1155,                 2.2589,                 2.7267,              0.0013116,              0.0013116,              0.0013116
                     86,                0.99916,                0.89559,                 1.3975,                0.94089,                  0.125,                0.19625,                0.10579,                 2.2995,                 2.2311,                 2.9454,              0.0013102,              0.0013102,              0.0013102
                     87,                0.94871,                0.92416,                 1.3559,                      1,                0.24581,                0.29329,                0.17509,                 2.1126,                 2.2299,                  2.807,              0.0013087,              0.0013087,              0.0013087
                     88,                0.90071,                0.86033,                 1.2673,                  0.964,                 0.1875,                0.25159,                0.14229,                 1.9431,                 2.1518,                  2.691,              0.0013073,              0.0013073,              0.0013073
                     89,                0.95756,                0.88342,                 1.3415,                0.86293,                 0.1875,                0.18807,                0.12729,                 1.9435,                 2.5673,                 2.5851,              0.0013059,              0.0013059,              0.0013059
                     90,                0.95532,                0.97414,                 1.4192,                0.67289,                 0.1875,                0.16142,                0.10458,                 2.1169,                 2.5658,                 2.6456,              0.0013045,              0.0013045,              0.0013045
                     91,                 1.0042,                0.98869,                 1.4015,                 0.7646,                  0.375,                0.31088,                0.14468,                 2.2767,                 2.2381,                 2.7401,              0.0013031,              0.0013031,              0.0013031
                     92,                0.90243,                 1.0181,                 1.3843,                0.86776,                  0.375,                0.33452,                0.12235,                 2.3181,                 2.2183,                 3.1034,              0.0013017,              0.0013017,              0.0013017
                     93,                0.91479,                0.90098,                 1.3417,                 0.8688,                  0.375,                0.33225,                0.14089,                 2.1504,                 1.9792,                 3.0373,              0.0013003,              0.0013003,              0.0013003
                     94,                0.84984,                0.85409,                 1.2738,                0.78555,                 0.4375,                 0.3179,                0.19217,                  1.963,                 2.0815,                 2.5646,              0.0012988,              0.0012988,              0.0012988
                     95,                0.91239,                0.89996,                 1.3276,                0.84702,                 0.1875,                0.23918,                0.12672,                 1.8718,                 2.3784,                 2.5377,              0.0012974,              0.0012974,              0.0012974
                     96,                0.85936,                0.85372,                 1.3332,                0.74673,                  0.375,                0.29717,                0.14913,                 1.8757,                 2.1731,                  2.448,               0.001296,               0.001296,               0.001296
                     97,                0.86745,                0.85147,                 1.2989,                0.91073,                0.29022,                0.36151,                0.16708,                 2.0676,                  1.846,                 2.7025,              0.0012946,              0.0012946,              0.0012946
                     98,                0.87962,                 0.8007,                 1.2812,                0.83122,                 0.3125,                0.35332,                0.16604,                 2.0126,                  1.833,                 2.7277,              0.0012932,              0.0012932,              0.0012932
                     99,                0.93637,                0.87713,                 1.3467,                0.76259,                  0.375,                0.33513,                0.15282,                 2.0119,                 1.9002,                 2.7617,              0.0012918,              0.0012918,              0.0012918
                    100,                0.91149,                0.88942,                 1.3429,                0.76662,                  0.375,                 0.2978,                0.12293,                 2.2751,                 1.8775,                 3.0809,              0.0012904,              0.0012904,              0.0012904
                    101,                0.89412,                0.84353,                 1.2853,                0.64904,                   0.25,                0.15515,                0.08907,                 2.1519,                 2.3388,                 2.7963,              0.0012889,              0.0012889,              0.0012889
                    102,                 0.8133,                0.81667,                 1.2749,                0.15481,                 0.3125,                0.15693,                0.09017,                 2.1061,                 2.2521,                  2.685,              0.0012875,              0.0012875,              0.0012875
                    103,                0.94963,                0.93279,                 1.3339,                0.69505,                   0.25,                 0.1892,                0.11765,                 2.1258,                  2.049,                 2.8524,              0.0012861,              0.0012861,              0.0012861
                    104,                 0.8673,                  0.874,                 1.2667,                0.71658,                 0.3125,                0.25675,                0.14753,                 2.0713,                 1.9792,                 2.8553,              0.0012847,              0.0012847,              0.0012847
                    105,                0.87529,                0.84668,                 1.2401,                0.73903,                  0.375,                0.31438,                0.16523,                 2.1116,                  1.912,                 2.6556,              0.0012833,              0.0012833,              0.0012833
                    106,                0.84362,                0.81138,                 1.2776,                0.83009,                0.24392,                0.31006,                0.15594,                 2.1564,                 2.0926,                 2.7124,              0.0012819,              0.0012819,              0.0012819
                    107,                0.86129,                0.82192,                 1.2816,                0.74543,                   0.25,                0.26786,                0.13684,                 2.1086,                 2.2995,                 2.6508,              0.0012805,              0.0012805,              0.0012805
                    108,                 0.8466,                 0.8075,                 1.2415,                0.84773,                 0.1875,                0.22033,                0.13101,                 2.1144,                  2.687,                 2.6839,               0.001279,               0.001279,               0.001279
                    109,                0.85875,                0.79814,                 1.2908,                0.75799,                0.20149,                0.24141,                0.12577,                 2.1016,                 2.4751,                 2.6987,              0.0012776,              0.0012776,              0.0012776
                    110,                0.80785,                0.78586,                 1.1951,                0.21413,                   0.25,                0.24832,                0.13105,                  2.004,                 2.3718,                 2.6756,              0.0012762,              0.0012762,              0.0012762
                    111,                 0.8786,                0.82954,                 1.2906,                0.74563,                   0.25,                0.22915,                0.11645,                   1.96,                 2.3188,                  2.676,              0.0012748,              0.0012748,              0.0012748
                    112,                0.82261,                0.79594,                  1.275,                0.30745,                   0.25,                0.21018,                 0.1125,                 2.0278,                 2.3101,                 2.7926,              0.0012734,              0.0012734,              0.0012734
                    113,                0.83427,                0.76086,                 1.2558,                0.32266,                   0.25,                 0.2027,                 0.1108,                 1.8807,                 2.4096,                  2.592,               0.001272,               0.001272,               0.001272
                    114,                0.82235,                0.80529,                 1.2773,                0.27604,                   0.25,                0.17261,                0.09111,                 1.8816,                 2.6249,                 2.6155,              0.0012706,              0.0012706,              0.0012706
                    115,                0.80777,                0.78112,                 1.2221,                0.71072,                   0.25,                0.15672,                0.08264,                 1.9713,                  2.954,                 2.5198,              0.0012691,              0.0012691,              0.0012691
                    116,                0.87652,                0.79091,                 1.3005,                0.64404,                0.25312,                0.16498,                0.07207,                 1.9395,                 2.7716,                 2.3743,              0.0012677,              0.0012677,              0.0012677
